learning_rate, optimizer, filter_size, epochs, loss, accuracy
1e-4,p,12,3,1.0310,0.7222
1e-4,p,12,3,0.7698,0.7954
1e-4,p,24,3,0.4933,0.8538
1e-4,p,24,3,0.5163,0.8547
1e-4,c,12,3,0.9127,0.7414
1e-4,c,12,3,0.8485,0.7629
1e-4,c,24,3,0.4900,0.8570
1e-4,c,24,3,0.5202,0.8490
1e-4,m,12,3,0.7458,0.7937
1e-4,m,12,3,0.7727,0.7797
1e-4,m,24,3,0.5124,0.8515
1e-4,m,24,3,0.5025,0.8652
1e-3,p,12,3,0.2970,0.9216
1e-3,p,12,3,0.2414,0.9290
1e-3,p,24,3,0.2028,0.9438
1e-3,p,24,3,0.2425,0.9460
1e-3,c,12,3,0.2623,0.9321
1e-3,c,12,3,0.2020,0.9381
1e-3,c,24,3,0.2052,0.9408
1e-3,c,24,3,0.2444,0.9350
1e-3,m,12,3,0.2914,0.9155
1e-3,m,12,3,0.2110,0.9367
1e-3,m,24,3,0.1765,0.9552
1e-3,m,24,3,0.2414,0.9314
1e-2,p,12,3,0.9435,0.8015
1e-2,p,12,3,1.3861,0.6490
1e-2,p,24,3,1.3423,0.6700
1e-2,p,24,3,4.7714,0.0159
1e-2,c,12,3,1.0328,0.7580
1e-2,c,12,3,1.1377,0.7487
1e-2,c,24,3,4.7715,0.0159
1e-2,c,24,3,4.7714,0.0159
1e-2,m,12,3,4.7714,0.0159
1e-2,m,12,3,0.7927,0.7923
1e-2,m,24,3,1.5024,0.6394
1e-2,m,24,3,4.7717,0.0159
